district_id,district_name,"region,inhabitants",mun1,mun2,mun3,mun4,cities,ratio,avgsal,unemploy95,unemploy96,enterpreneurs,crimes95,crimes96
c2_1,hl_m_praha,prague,'a0=159134<x<=+inf','a1=_inf<x<=16','a2=_inf<x<=13_5','a3=_inf<x<=3_5','a4=0_5<x<=1_5','a5=_inf<x<=4_5','a6=80_25<x<=+inf','a7=9637<x<=+inf','a8=_inf<x<=1_645','a9=_inf<x<=2_14','a10=130_5<x<=+inf','a11=5089<x<=+inf'
c2_10,praha_vychod,central_bohemia,'a0=76801<x<=99258','a1=34_5<x<=57','a2=27_5<x<=35_5','a3=3_5<x<=4_5','a4=2_5<x<=3_5','a5=4_5<x<=5_5','a6=_inf<x<=49_45','a7=9637<x<=+inf','a8=_inf<x<=1_645','a9=_inf<x<=2_14','a10=130_5<x<=+inf','a11=3694<x<=5089'
c2_11,praha_zapad,central_bohemia,'a0=_inf<x<=76801','a1=34_5<x<=57','a2=35_5<x<=+inf','a3=6_5<x<=9_5','a4=_inf<x<=0_5','a5=6_5<x<=8_5','a6=_inf<x<=49_45','a7=8966_5<x<=9637','a8=_inf<x<=1_645','a9=_inf<x<=2_14','a10=130_5<x<=+inf','a11=2646_5<x<=3694'
c2_12,pribram,central_bohemia,'a0=99258<x<=119272','a1=74_5<x<=+inf','a2=27_5<x<=35_5','a3=4_5<x<=6_5','a4=0_5<x<=1_5','a5=5_5<x<=6_5','a6=56<x<=62_45','a7=8691_5<x<=8966_5','a8=3_355<x<=4_71','a9=4_07<x<=5_505','a10=130_5<x<=+inf','a11=3694<x<=5089'
c2_13,rakovnik,central_bohemia,'a0=_inf<x<=76801','a1=57<x<=74_5','a2=21_5<x<=27_5','a3=_inf<x<=3_5','a4=0_5<x<=1_5','a5=_inf<x<=4_5','a6=_inf<x<=49_45','a7=8402_5<x<=8691_5','a8=2_585<x<=3_355','a9=3_24<x<=4_07','a10=118_5<x<=130_5','a11=_inf<x<=1847_5'
c2_14,ceske_budejovice,south_bohemia,'a0=159134<x<=+inf','a1=57<x<=74_5','a2=21_5<x<=27_5','a3=9_5<x<=+inf','a4=0_5<x<=1_5','a5=8_5<x<=+inf','a6=62_45<x<=80_25','a7=9637<x<=+inf','a8=_inf<x<=1_645','a9=_inf<x<=2_14','a10=130_5<x<=+inf','a11=5089<x<=+inf'
c2_15,cesky_krumlov,south_bohemia,'a0=_inf<x<=76801','a1=16<x<=34_5','a2=13_5<x<=21_5','a3=6_5<x<=9_5','a4=0_5<x<=1_5','a5=4_5<x<=5_5','a6=49_45<x<=56','a7=8966_5<x<=9637','a8=2_585<x<=3_355','a9=3_24<x<=4_07','a10=118_5<x<=130_5','a11=_inf<x<=1847_5'
c2_16,jindrichuv_hradec,south_bohemia,'a0=76801<x<=99258','a1=57<x<=74_5','a2=13_5<x<=21_5','a3=9_5<x<=+inf','a4=0_5<x<=1_5','a5=6_5<x<=8_5','a6=56<x<=62_45','a7=8402_5<x<=8691_5','a8=_inf<x<=1_645','a9=_inf<x<=2_14','a10=101<x<=109_5','a11=1847_5<x<=2646_5'
c2_17,pelhrimov,south_bohemia,'a0=_inf<x<=76801','a1=74_5<x<=+inf','a2=13_5<x<=21_5','a3=3_5<x<=4_5','a4=1_5<x<=2_5','a5=6_5<x<=8_5','a6=56<x<=62_45','a7=_inf<x<=8402_5','a8=1_645<x<=2_585','a9=2_14<x<=3_24','a10=118_5<x<=130_5','a11=_inf<x<=1847_5'
c2_18,pisek,south_bohemia,'a0=_inf<x<=76801','a1=57<x<=74_5','a2=_inf<x<=13_5','a3=_inf<x<=3_5','a4=0_5<x<=1_5','a5=_inf<x<=4_5','a6=62_45<x<=80_25','a7=8966_5<x<=9637','a8=2_585<x<=3_355','a9=3_24<x<=4_07','a10=130_5<x<=+inf','a11=_inf<x<=1847_5'
c2_19,prachatice,south_bohemia,'a0=_inf<x<=76801','a1=34_5<x<=57','a2=_inf<x<=13_5','a3=_inf<x<=3_5','a4=0_5<x<=1_5','a5=_inf<x<=4_5','a6=49_45<x<=56','a7=_inf<x<=8402_5','a8=2_585<x<=3_355','a9=3_24<x<=4_07','a10=118_5<x<=130_5','a11=_inf<x<=1847_5'
c2_2,benesov,central_bohemia,'a0=76801<x<=99258','a1=74_5<x<=+inf','a2=21_5<x<=27_5','a3=4_5<x<=6_5','a4=1_5<x<=2_5','a5=4_5<x<=5_5','a6=_inf<x<=49_45','a7=8402_5<x<=8691_5','a8=1_645<x<=2_585','a9=_inf<x<=2_14','a10=130_5<x<=+inf','a11=1847_5<x<=2646_5'
c2_20,strakonice,south_bohemia,'a0=_inf<x<=76801','a1=74_5<x<=+inf','a2=13_5<x<=21_5','a3=_inf<x<=3_5','a4=0_5<x<=1_5','a5=_inf<x<=4_5','a6=56<x<=62_45','a7=8402_5<x<=8691_5','a8=2_585<x<=3_355','a9=3_24<x<=4_07','a10=118_5<x<=130_5','a11=_inf<x<=1847_5'
c2_21,tabor,south_bohemia,'a0=99258<x<=119272','a1=74_5<x<=+inf','a2=13_5<x<=21_5','a3=6_5<x<=9_5','a4=0_5<x<=1_5','a5=6_5<x<=8_5','a6=62_45<x<=80_25','a7=8966_5<x<=9637','a8=_inf<x<=1_645','a9=_inf<x<=2_14','a10=118_5<x<=130_5','a11=1847_5<x<=2646_5'
c2_23,cheb,west_bohemia,'a0=76801<x<=99258','a1=16<x<=34_5','a2=_inf<x<=13_5','a3=3_5<x<=4_5','a4=2_5<x<=3_5','a5=8_5<x<=+inf','a6=80_25<x<=+inf','a7=8402_5<x<=8691_5','a8=1_645<x<=2_585','a9=2_14<x<=3_24','a10=101<x<=109_5','a11=2646_5<x<=3694'
c2_24,karlovy_vary,west_bohemia,'a0=119272<x<=159134','a1=16<x<=34_5','a2=13_5<x<=21_5','a3=4_5<x<=6_5','a4=1_5<x<=2_5','a5=6_5<x<=8_5','a6=62_45<x<=80_25','a7=8966_5<x<=9637','a8=_inf<x<=1_645','a9=_inf<x<=2_14','a10=118_5<x<=130_5','a11=5089<x<=+inf'
c2_26,plzen_mesto,west_bohemia,'a0=159134<x<=+inf','a1=_inf<x<=16','a2=_inf<x<=13_5','a3=_inf<x<=3_5','a4=0_5<x<=1_5','a5=_inf<x<=4_5','a6=80_25<x<=+inf','a7=9637<x<=+inf','a8=2_585<x<=3_355','a9=2_14<x<=3_24','a10=130_5<x<=+inf','a11=5089<x<=+inf'
c2_27,plzen_jih,west_bohemia,'a0=_inf<x<=76801','a1=57<x<=74_5','a2=13_5<x<=21_5','a3=9_5<x<=+inf','a4=_inf<x<=0_5','a5=6_5<x<=8_5','a6=_inf<x<=49_45','a7=8402_5<x<=8691_5','a8=_inf<x<=1_645','a9=_inf<x<=2_14','a10=109_5<x<=118_5','a11=_inf<x<=1847_5'
c2_28,plzen_sever,west_bohemia,'a0=_inf<x<=76801','a1=57<x<=74_5','a2=21_5<x<=27_5','a3=9_5<x<=+inf','a4=_inf<x<=0_5','a5=6_5<x<=8_5','a6=_inf<x<=49_45','a7=8402_5<x<=8691_5','a8=_inf<x<=1_645','a9=_inf<x<=2_14','a10=109_5<x<=118_5','a11=_inf<x<=1847_5'
c2_29,rokycany,west_bohemia,'a0=_inf<x<=76801','a1=34_5<x<=57','a2=_inf<x<=13_5','a3=4_5<x<=6_5','a4=0_5<x<=1_5','a5=5_5<x<=6_5','a6=49_45<x<=56','a7=8691_5<x<=8966_5','a8=2_585<x<=3_355','a9=3_24<x<=4_07','a10=109_5<x<=118_5','a11=_inf<x<=1847_5'
c2_3,beroun,central_bohemia,'a0=_inf<x<=76801','a1=34_5<x<=57','a2=21_5<x<=27_5','a3=3_5<x<=4_5','a4=0_5<x<=1_5','a5=4_5<x<=5_5','a6=_inf<x<=49_45','a7=8966_5<x<=9637','a8=1_645<x<=2_585','a9=2_14<x<=3_24','a10=109_5<x<=118_5','a11=2646_5<x<=3694'
c2_30,sokolov,west_bohemia,'a0=76801<x<=99258','a1=_inf<x<=16','a2=_inf<x<=13_5','a3=6_5<x<=9_5','a4=1_5<x<=2_5','a5=8_5<x<=+inf','a6=80_25<x<=+inf','a7=9637<x<=+inf','a8=3_355<x<=4_71','a9=3_24<x<=4_07','a10=_inf<x<=101','a11=2646_5<x<=3694'
c2_31,tachov,west_bohemia,'a0=_inf<x<=76801','a1=16<x<=34_5','a2=_inf<x<=13_5','a3=_inf<x<=3_5','a4=0_5<x<=1_5','a5=_inf<x<=4_5','a6=56<x<=62_45','a7=8691_5<x<=8966_5','a8=3_355<x<=4_71','a9=4_07<x<=5_505','a10=101<x<=109_5','a11=_inf<x<=1847_5'
c2_32,ceska_lipa,north_bohemia,'a0=99258<x<=119272','a1=16<x<=34_5','a2=13_5<x<=21_5','a3=6_5<x<=9_5','a4=1_5<x<=2_5','a5=8_5<x<=+inf','a6=80_25<x<=+inf','a7=8966_5<x<=9637','a8=2_585<x<=3_355','a9=2_14<x<=3_24','a10=109_5<x<=118_5','a11=3694<x<=5089'
c2_33,decin,north_bohemia,'a0=119272<x<=159134','a1=16<x<=34_5','a2=13_5<x<=21_5','a3=6_5<x<=9_5','a4=2_5<x<=3_5','a5=8_5<x<=+inf','a6=80_25<x<=+inf','a7=8691_5<x<=8966_5','a8=4_71<x<=+inf','a9=5_505<x<=+inf','a10=109_5<x<=118_5','a11=3694<x<=5089'
c2_34,chomutov,north_bohemia,'a0=119272<x<=159134','a1=16<x<=34_5','a2=_inf<x<=13_5','a3=_inf<x<=3_5','a4=3_5<x<=+inf','a5=4_5<x<=5_5','a6=80_25<x<=+inf','a7=9637<x<=+inf','a8=4_71<x<=+inf','a9=5_505<x<=+inf','a10=_inf<x<=101','a11=5089<x<=+inf'
c2_35,jablonec_n_nisou,north_bohemia,'a0=76801<x<=99258','a1=_inf<x<=16','a2=13_5<x<=21_5','a3=4_5<x<=6_5','a4=0_5<x<=1_5','a5=6_5<x<=8_5','a6=80_25<x<=+inf','a7=8691_5<x<=8966_5','a8=_inf<x<=1_645','a9=_inf<x<=2_14','a10=118_5<x<=130_5','a11=2646_5<x<=3694'
c2_37,litomerice,north_bohemia,'a0=99258<x<=119272','a1=57<x<=74_5','a2=21_5<x<=27_5','a3=4_5<x<=6_5','a4=1_5<x<=2_5','a5=8_5<x<=+inf','a6=56<x<=62_45','a7=8966_5<x<=9637','a8=3_355<x<=4_71','a9=4_07<x<=5_505','a10=118_5<x<=130_5','a11=3694<x<=5089'
c2_38,louny,north_bohemia,'a0=76801<x<=99258','a1=34_5<x<=57','a2=21_5<x<=27_5','a3=3_5<x<=4_5','a4=1_5<x<=2_5','a5=_inf<x<=4_5','a6=56<x<=62_45','a7=8691_5<x<=8966_5','a8=4_71<x<=+inf','a9=5_505<x<=+inf','a10=101<x<=109_5','a11=2646_5<x<=3694'
c2_39,most,north_bohemia,'a0=119272<x<=159134','a1=16<x<=34_5','a2=_inf<x<=13_5','a3=_inf<x<=3_5','a4=1_5<x<=2_5','a5=_inf<x<=4_5','a6=80_25<x<=+inf','a7=9637<x<=+inf','a8=4_71<x<=+inf','a9=5_505<x<=+inf','a10=_inf<x<=101','a11=3694<x<=5089'
c2_4,kladno,central_bohemia,'a0=119272<x<=159134','a1=57<x<=74_5','a2=27_5<x<=35_5','a3=4_5<x<=6_5','a4=1_5<x<=2_5','a5=5_5<x<=6_5','a6=62_45<x<=80_25','a7=9637<x<=+inf','a8=3_355<x<=4_71','a9=4_07<x<=5_505','a10=101<x<=109_5','a11=5089<x<=+inf'
c2_40,teplice,north_bohemia,'a0=119272<x<=159134','a1=_inf<x<=16','a2=13_5<x<=21_5','a3=4_5<x<=6_5','a4=2_5<x<=3_5','a5=6_5<x<=8_5','a6=80_25<x<=+inf','a7=8966_5<x<=9637','a8=4_71<x<=+inf','a9=5_505<x<=+inf','a10=_inf<x<=101','a11=5089<x<=+inf'
c2_41,usti_nad_labem,north_bohemia,'a0=99258<x<=119272','a1=_inf<x<=16','a2=_inf<x<=13_5','a3=4_5<x<=6_5','a4=0_5<x<=1_5','a5=_inf<x<=4_5','a6=80_25<x<=+inf','a7=9637<x<=+inf','a8=2_585<x<=3_355','a9=4_07<x<=5_505','a10=109_5<x<=118_5','a11=5089<x<=+inf'
c2_42,havlickuv_brod,east_bohemia,'a0=76801<x<=99258','a1=74_5<x<=+inf','a2=21_5<x<=27_5','a3=4_5<x<=6_5','a4=1_5<x<=2_5','a5=6_5<x<=8_5','a6=56<x<=62_45','a7=_inf<x<=8402_5','a8=1_645<x<=2_585','a9=2_14<x<=3_24','a10=_inf<x<=101','a11=_inf<x<=1847_5'
c2_43,hradec_kralove,east_bohemia,'a0=159134<x<=+inf','a1=57<x<=74_5','a2=13_5<x<=21_5','a3=4_5<x<=6_5','a4=0_5<x<=1_5','a5=5_5<x<=6_5','a6=62_45<x<=80_25','a7=8966_5<x<=9637','a8=1_645<x<=2_585','a9=2_14<x<=3_24','a10=118_5<x<=130_5','a11=3694<x<=5089'
c2_44,chrudim,east_bohemia,'a0=99258<x<=119272','a1=74_5<x<=+inf','a2=21_5<x<=27_5','a3=6_5<x<=9_5','a4=1_5<x<=2_5','a5=6_5<x<=8_5','a6=49_45<x<=56','a7=_inf<x<=8402_5','a8=2_585<x<=3_355','a9=3_24<x<=4_07','a10=_inf<x<=101','a11=1847_5<x<=2646_5'
c2_45,jicin,east_bohemia,'a0=76801<x<=99258','a1=74_5<x<=+inf','a2=13_5<x<=21_5','a3=4_5<x<=6_5','a4=0_5<x<=1_5','a5=4_5<x<=5_5','a6=49_45<x<=56','a7=_inf<x<=8402_5','a8=1_645<x<=2_585','a9=2_14<x<=3_24','a10=130_5<x<=+inf','a11=1847_5<x<=2646_5'
c2_46,nachod,east_bohemia,'a0=99258<x<=119272','a1=34_5<x<=57','a2=13_5<x<=21_5','a3=6_5<x<=9_5','a4=2_5<x<=3_5','a5=8_5<x<=+inf','a6=62_45<x<=80_25','a7=_inf<x<=8402_5','a8=1_645<x<=2_585','a9=2_14<x<=3_24','a10=109_5<x<=118_5','a11=2646_5<x<=3694'
c2_47,pardubice,east_bohemia,'a0=159134<x<=+inf','a1=74_5<x<=+inf','a2=21_5<x<=27_5','a3=4_5<x<=6_5','a4=0_5<x<=1_5','a5=5_5<x<=6_5','a6=62_45<x<=80_25','a7=8966_5<x<=9637','a8=_inf<x<=1_645','a9=_inf<x<=2_14','a10=109_5<x<=118_5','a11=5089<x<=+inf'
c2_48,rychnov_nad_kneznou,east_bohemia,'a0=76801<x<=99258','a1=34_5<x<=57','a2=21_5<x<=27_5','a3=6_5<x<=9_5','a4=0_5<x<=1_5','a5=8_5<x<=+inf','a6=56<x<=62_45','a7=8966_5<x<=9637','a8=1_645<x<=2_585','a9=2_14<x<=3_24','a10=118_5<x<=130_5','a11=_inf<x<=1847_5'
c2_49,semily,east_bohemia,'a0=_inf<x<=76801','a1=16<x<=34_5','a2=27_5<x<=35_5','a3=4_5<x<=6_5','a4=0_5<x<=1_5','a5=8_5<x<=+inf','a6=56<x<=62_45','a7=_inf<x<=8402_5','a8=1_645<x<=2_585','a9=2_14<x<=3_24','a10=130_5<x<=+inf','a11=_inf<x<=1847_5'
c2_5,kolin,central_bohemia,'a0=76801<x<=99258','a1=57<x<=74_5','a2=27_5<x<=35_5','a3=3_5<x<=4_5','a4=0_5<x<=1_5','a5=5_5<x<=6_5','a6=49_45<x<=56','a7=8966_5<x<=9637','a8=3_355<x<=4_71','a9=4_07<x<=5_505','a10=109_5<x<=118_5','a11=1847_5<x<=2646_5'
c2_50,svitavy,east_bohemia,'a0=99258<x<=119272','a1=74_5<x<=+inf','a2=27_5<x<=35_5','a3=_inf<x<=3_5','a4=2_5<x<=3_5','a5=5_5<x<=6_5','a6=49_45<x<=56','a7=_inf<x<=8402_5','a8=4_71<x<=+inf','a9=4_07<x<=5_505','a10=_inf<x<=101','a11=1847_5<x<=2646_5'
c2_51,trutnov,east_bohemia,'a0=119272<x<=159134','a1=34_5<x<=57','a2=27_5<x<=35_5','a3=6_5<x<=9_5','a4=2_5<x<=3_5','a5=8_5<x<=+inf','a6=62_45<x<=80_25','a7=8402_5<x<=8691_5','a8=1_645<x<=2_585','a9=2_14<x<=3_24','a10=130_5<x<=+inf','a11=2646_5<x<=3694'
c2_52,usti_nad_orlici,east_bohemia,'a0=119272<x<=159134','a1=57<x<=74_5','a2=35_5<x<=+inf','a3=6_5<x<=9_5','a4=2_5<x<=3_5','a5=8_5<x<=+inf','a6=56<x<=62_45','a7=_inf<x<=8402_5','a8=1_645<x<=2_585','a9=3_24<x<=4_07','a10=101<x<=109_5','a11=1847_5<x<=2646_5'
c2_53,blansko,south_moravia,'a0=99258<x<=119272','a1=74_5<x<=+inf','a2=27_5<x<=35_5','a3=4_5<x<=6_5','a4=1_5<x<=2_5','a5=6_5<x<=8_5','a6=49_45<x<=56','a7=_inf<x<=8402_5','a8=1_645<x<=2_585','a9=3_24<x<=4_07','a10=_inf<x<=101','a11=1847_5<x<=2646_5'
c2_54,brno_mesto,south_moravia,'a0=159134<x<=+inf','a1=_inf<x<=16','a2=_inf<x<=13_5','a3=_inf<x<=3_5','a4=0_5<x<=1_5','a5=_inf<x<=4_5','a6=80_25<x<=+inf','a7=9637<x<=+inf','a8=_inf<x<=1_645','a9=_inf<x<=2_14','a10=130_5<x<=+inf','a11=5089<x<=+inf'
c2_55,brno_venkov,south_moravia,'a0=119272<x<=159134','a1=34_5<x<=57','a2=35_5<x<=+inf','a3=9_5<x<=+inf','a4=_inf<x<=0_5','a5=8_5<x<=+inf','a6=_inf<x<=49_45','a7=8691_5<x<=8966_5','a8=1_645<x<=2_585','a9=2_14<x<=3_24','a10=109_5<x<=118_5','a11=2646_5<x<=3694'
c2_56,breclav,south_moravia,'a0=119272<x<=159134','a1=_inf<x<=16','a2=35_5<x<=+inf','a3=9_5<x<=+inf','a4=0_5<x<=1_5','a5=6_5<x<=8_5','a6=_inf<x<=49_45','a7=8691_5<x<=8966_5','a8=3_355<x<=4_71','a9=4_07<x<=5_505','a10=118_5<x<=130_5','a11=2646_5<x<=3694'
c2_57,hodonin,south_moravia,'a0=159134<x<=+inf','a1=16<x<=34_5','a2=35_5<x<=+inf','a3=9_5<x<=+inf','a4=2_5<x<=3_5','a5=6_5<x<=8_5','a6=_inf<x<=49_45','a7=8691_5<x<=8966_5','a8=3_355<x<=4_71','a9=4_07<x<=5_505','a10=109_5<x<=118_5','a11=3694<x<=5089'
c2_59,kromeriz,south_moravia,'a0=99258<x<=119272','a1=34_5<x<=57','a2=27_5<x<=35_5','a3=6_5<x<=9_5','a4=1_5<x<=2_5','a5=5_5<x<=6_5','a6=56<x<=62_45','a7=8402_5<x<=8691_5','a8=2_585<x<=3_355','a9=3_24<x<=4_07','a10=101<x<=109_5','a11=1847_5<x<=2646_5'
c2_6,kutna_hora,central_bohemia,'a0=76801<x<=99258','a1=57<x<=74_5','a2=21_5<x<=27_5','a3=3_5<x<=4_5','a4=1_5<x<=2_5','a5=_inf<x<=4_5','a6=49_45<x<=56','a7=8402_5<x<=8691_5','a8=2_585<x<=3_355','a9=3_24<x<=4_07','a10=118_5<x<=130_5','a11=1847_5<x<=2646_5'
c2_60,prostejov,south_moravia,'a0=99258<x<=119272','a1=34_5<x<=57','a2=35_5<x<=+inf','a3=3_5<x<=4_5','a4=0_5<x<=1_5','a5=_inf<x<=4_5','a6=49_45<x<=56','a7=8402_5<x<=8691_5','a8=3_355<x<=4_71','a9=4_07<x<=5_505','a10=109_5<x<=118_5','a11=1847_5<x<=2646_5'
c2_61,trebic,south_moravia,'a0=99258<x<=119272','a1=74_5<x<=+inf','a2=27_5<x<=35_5','a3=4_5<x<=6_5','a4=0_5<x<=1_5','a5=5_5<x<=6_5','a6=49_45<x<=56','a7=8691_5<x<=8966_5','a8=4_71<x<=+inf','a9=5_505<x<=+inf','a10=101<x<=109_5','a11=1847_5<x<=2646_5'
c2_62,uherske_hradiste,south_moravia,'a0=119272<x<=159134','a1=16<x<=34_5','a2=35_5<x<=+inf','a3=9_5<x<=+inf','a4=1_5<x<=2_5','a5=4_5<x<=5_5','a6=_inf<x<=49_45','a7=8402_5<x<=8691_5','a8=_inf<x<=1_645','a9=_inf<x<=2_14','a10=101<x<=109_5','a11=2646_5<x<=3694'
c2_63,vyskov,south_moravia,'a0=76801<x<=99258','a1=34_5<x<=57','a2=35_5<x<=+inf','a3=4_5<x<=6_5','a4=0_5<x<=1_5','a5=4_5<x<=5_5','a6=49_45<x<=56','a7=_inf<x<=8402_5','a8=3_355<x<=4_71','a9=4_07<x<=5_505','a10=109_5<x<=118_5','a11=_inf<x<=1847_5'
c2_64,zlin,south_moravia,'a0=159134<x<=+inf','a1=16<x<=34_5','a2=35_5<x<=+inf','a3=9_5<x<=+inf','a4=1_5<x<=2_5','a5=8_5<x<=+inf','a6=62_45<x<=80_25','a7=8966_5<x<=9637','a8=_inf<x<=1_645','a9=2_14<x<=3_24','a10=130_5<x<=+inf','a11=3694<x<=5089'
c2_65,znojmo,south_moravia,'a0=99258<x<=119272','a1=74_5<x<=+inf','a2=35_5<x<=+inf','a3=3_5<x<=4_5','a4=0_5<x<=1_5','a5=_inf<x<=4_5','a6=_inf<x<=49_45','a7=8402_5<x<=8691_5','a8=4_71<x<=+inf','a9=5_505<x<=+inf','a10=101<x<=109_5','a11=1847_5<x<=2646_5'
c2_66,zdar_nad_sazavou,south_moravia,'a0=119272<x<=159134','a1=74_5<x<=+inf','a2=35_5<x<=+inf','a3=_inf<x<=3_5','a4=2_5<x<=3_5','a5=4_5<x<=5_5','a6=_inf<x<=49_45','a7=8402_5<x<=8691_5','a8=3_355<x<=4_71','a9=4_07<x<=5_505','a10=101<x<=109_5','a11=1847_5<x<=2646_5'
c2_67,bruntal,north_moravia,'a0=99258<x<=119272','a1=34_5<x<=57','a2=21_5<x<=27_5','a3=4_5<x<=6_5','a4=1_5<x<=2_5','a5=5_5<x<=6_5','a6=62_45<x<=80_25','a7=_inf<x<=8402_5','a8=4_71<x<=+inf','a9=5_505<x<=+inf','a10=101<x<=109_5','a11=2646_5<x<=3694'
c2_68,frydek_mistek,north_moravia,'a0=159134<x<=+inf','a1=_inf<x<=16','a2=35_5<x<=+inf','a3=9_5<x<=+inf','a4=1_5<x<=2_5','a5=5_5<x<=6_5','a6=56<x<=62_45','a7=9637<x<=+inf','a8=3_355<x<=4_71','a9=4_07<x<=5_505','a10=_inf<x<=101','a11=5089<x<=+inf'
c2_69,jesenik,north_moravia,'a0=_inf<x<=76801','a1=_inf<x<=16','a2=_inf<x<=13_5','a3=4_5<x<=6_5','a4=0_5<x<=1_5','a5=_inf<x<=4_5','a6=_inf<x<=49_45','a7=_inf<x<=8402_5','a8=2_585<x<=3_355','a9=5_505<x<=+inf','a10=118_5<x<=130_5','a11=3694<x<=5089'
c2_7,melnik,central_bohemia,'a0=76801<x<=99258','a1=34_5<x<=57','a2=27_5<x<=35_5','a3=_inf<x<=3_5','a4=2_5<x<=3_5','a5=5_5<x<=6_5','a6=62_45<x<=80_25','a7=9637<x<=+inf','a8=1_645<x<=2_585','a9=2_14<x<=3_24','a10=118_5<x<=130_5','a11=3694<x<=5089'
c2_70,karvina,north_moravia,'a0=159134<x<=+inf','a1=_inf<x<=16','a2=_inf<x<=13_5','a3=6_5<x<=9_5','a4=3_5<x<=+inf','a5=6_5<x<=8_5','a6=80_25<x<=+inf','a7=9637<x<=+inf','a8=4_71<x<=+inf','a9=5_505<x<=+inf','a10=_inf<x<=101','a11=5089<x<=+inf'
c2_71,novy_jicin,north_moravia,'a0=159134<x<=+inf','a1=_inf<x<=16','a2=27_5<x<=35_5','a3=9_5<x<=+inf','a4=3_5<x<=+inf','a5=8_5<x<=+inf','a6=62_45<x<=80_25','a7=8402_5<x<=8691_5','a8=4_71<x<=+inf','a9=5_505<x<=+inf','a10=101<x<=109_5','a11=3694<x<=5089'
c2_72,olomouc,north_moravia,'a0=159134<x<=+inf','a1=16<x<=34_5','a2=35_5<x<=+inf','a3=6_5<x<=9_5','a4=3_5<x<=+inf','a5=_inf<x<=4_5','a6=62_45<x<=80_25','a7=8966_5<x<=9637','a8=3_355<x<=4_71','a9=4_07<x<=5_505','a10=109_5<x<=118_5','a11=5089<x<=+inf'
c2_73,opava,north_moravia,'a0=159134<x<=+inf','a1=16<x<=34_5','a2=35_5<x<=+inf','a3=9_5<x<=+inf','a4=1_5<x<=2_5','a5=6_5<x<=8_5','a6=56<x<=62_45','a7=8691_5<x<=8966_5','a8=2_585<x<=3_355','a9=3_24<x<=4_07','a10=_inf<x<=101','a11=3694<x<=5089'
c2_74,ostrava_mesto,north_moravia,'a0=159134<x<=+inf','a1=_inf<x<=16','a2=_inf<x<=13_5','a3=_inf<x<=3_5','a4=0_5<x<=1_5','a5=_inf<x<=4_5','a6=80_25<x<=+inf','a7=9637<x<=+inf','a8=4_71<x<=+inf','a9=4_07<x<=5_505','a10=_inf<x<=101','a11=5089<x<=+inf'
c2_75,prerov,north_moravia,'a0=119272<x<=159134','a1=57<x<=74_5','a2=27_5<x<=35_5','a3=3_5<x<=4_5','a4=1_5<x<=2_5','a5=4_5<x<=5_5','a6=62_45<x<=80_25','a7=8691_5<x<=8966_5','a8=4_71<x<=+inf','a9=5_505<x<=+inf','a10=_inf<x<=101','a11=3694<x<=5089'
c2_76,sumperk,north_moravia,'a0=119272<x<=159134','a1=16<x<=34_5','a2=27_5<x<=35_5','a3=9_5<x<=+inf','a4=1_5<x<=2_5','a5=6_5<x<=8_5','a6=49_45<x<=56','a7=_inf<x<=8402_5','a8=4_71<x<=+inf','a9=5_505<x<=+inf','a10=101<x<=109_5','a11=3694<x<=5089'
c2_77,vsetin,north_moravia,'a0=119272<x<=159134','a1=_inf<x<=16','a2=27_5<x<=35_5','a3=9_5<x<=+inf','a4=2_5<x<=3_5','a5=_inf<x<=4_5','a6=49_45<x<=56','a7=8691_5<x<=8966_5','a8=3_355<x<=4_71','a9=5_505<x<=+inf','a10=109_5<x<=118_5','a11=2646_5<x<=3694'
c2_9,nymburk,central_bohemia,'a0=76801<x<=99258','a1=57<x<=74_5','a2=21_5<x<=27_5','a3=3_5<x<=4_5','a4=1_5<x<=2_5','a5=5_5<x<=6_5','a6=49_45<x<=56','a7=8691_5<x<=8966_5','a8=3_355<x<=4_71','a9=3_24<x<=4_07','a10=130_5<x<=+inf','a11=2646_5<x<=3694'
