id,white_king_file,white_king_rank,white_rook_file,white_rook_rank,black_king_file,black_king_rank,class
714,5,1,5,6,1,1,neg
346,0,0,3,5,1,4,neg
50,2,2,4,0,1,0,pos
585,1,3,1,1,3,7,neg
793,2,0,0,1,4,0,neg
753,4,5,2,6,6,3,neg
130,7,1,5,0,6,0,pos
116,0,1,0,3,0,2,pos
181,5,1,7,0,4,1,pos
340,0,2,6,3,1,3,pos
362,3,0,7,5,0,3,neg
711,2,7,3,1,5,6,neg
992,4,0,2,3,3,4,neg
119,5,4,5,3,5,2,pos
417,2,7,4,1,6,4,neg
339,4,5,2,5,5,5,pos
96,0,2,3,5,0,1,pos
671,5,2,1,1,0,5,neg
286,2,0,5,3,3,0,pos
385,1,5,7,7,5,1,neg
690,6,5,7,5,3,7,neg
34,0,2,6,6,6,0,pos
433,7,1,0,7,2,3,neg
264,1,5,4,3,7,3,pos
722,0,5,2,6,1,1,neg
27,3,7,0,4,3,4,pos
47,4,3,7,1,4,2,pos
228,7,4,2,4,2,3,pos
268,3,3,4,2,2,2,pos
78,6,5,4,0,6,6,pos
227,4,0,1,2,1,5,pos
252,0,7,6,7,0,6,pos
499,3,5,5,2,6,7,neg
204,3,1,4,3,3,0,pos
420,1,3,7,0,3,2,neg
825,4,7,6,0,3,3,neg
976,2,1,7,1,6,7,neg
803,5,0,2,5,1,4,neg
508,6,0,2,2,5,7,neg
819,4,7,1,6,0,7,neg
224,6,3,6,2,3,2,pos
698,4,5,7,4,0,7,neg
100,4,0,7,6,2,6,pos
248,6,4,6,0,6,3,pos
226,5,2,5,2,1,1,pos
439,5,6,7,5,0,2,neg
73,0,3,4,3,2,3,pos
149,2,3,4,4,4,6,pos
300,7,4,7,0,6,0,pos
146,0,6,7,5,5,5,pos
602,0,6,3,3,7,6,neg
774,6,3,6,7,2,6,neg
580,0,5,1,6,7,3,neg
111,6,5,3,6,2,6,pos
52,3,6,1,4,2,7,pos
112,7,0,0,3,2,3,pos
730,6,3,7,2,0,5,neg
254,2,1,7,0,0,0,pos
966,1,4,0,3,7,0,neg
635,1,1,5,2,2,7,neg
558,2,7,0,1,5,6,neg
84,1,1,2,3,2,6,pos
175,3,2,0,2,0,0,pos
970,2,0,1,0,7,6,neg
575,6,6,6,7,5,4,neg
424,1,6,4,7,1,0,neg
183,3,2,5,4,4,3,pos
167,7,1,6,4,3,4,pos
978,5,1,1,4,5,5,neg
325,5,1,7,5,6,0,pos
90,1,2,6,7,0,3,pos
194,0,4,1,7,7,7,pos
334,7,0,4,3,4,3,pos
853,3,4,4,0,6,1,neg
159,1,6,7,6,2,5,pos
378,3,6,6,0,1,3,neg
822,3,7,2,7,4,5,neg
20,4,6,4,6,5,0,pos
947,7,1,2,4,6,3,neg
590,0,5,1,3,0,1,neg
850,4,0,7,7,3,4,neg
900,2,3,1,3,3,5,neg
274,7,2,5,4,5,6,pos
642,0,2,5,5,4,6,neg
732,0,1,4,1,7,2,neg
1,5,2,5,2,7,3,pos
374,3,6,4,7,6,2,neg
487,1,1,7,0,3,2,neg
972,3,0,7,5,3,2,neg
588,7,0,1,0,7,6,neg
243,6,1,7,7,5,2,pos
207,5,1,1,0,1,7,pos
549,6,7,2,3,1,2,neg
423,6,5,7,2,4,0,neg
304,1,6,0,1,2,5,pos
809,4,0,3,6,7,1,neg
676,5,2,5,5,7,3,neg
4,4,0,1,4,4,1,pos
919,4,0,4,6,1,7,neg
120,3,1,4,0,4,0,pos
876,5,3,3,5,6,0,neg
127,3,5,1,3,3,6,pos
863,2,2,1,3,2,0,neg
686,2,7,7,0,3,2,neg
523,6,1,2,0,4,6,neg
789,4,0,6,3,3,7,neg
102,4,1,1,3,5,1,pos
943,2,1,2,6,6,3,neg
271,5,6,4,7,4,2,pos
660,1,2,4,7,6,4,neg
979,7,4,4,2,1,7,neg
955,4,5,7,5,3,0,neg
169,0,3,5,0,1,0,pos
23,5,1,6,5,3,5,pos
411,3,7,3,4,5,6,neg
880,5,6,1,0,2,1,neg
171,1,0,4,3,0,1,pos
188,1,1,3,0,7,0,pos
770,6,4,0,6,2,4,neg
514,7,1,3,7,7,5,neg
9,6,2,6,2,3,3,pos
30,7,7,0,4,6,4,pos
968,7,1,2,7,0,3,neg
103,0,6,7,6,7,2,pos
39,4,1,6,3,7,3,pos
35,2,6,0,4,1,5,pos
97,3,0,1,3,7,3,pos
799,0,1,1,3,2,4,neg
796,6,5,2,3,0,0,neg
384,6,7,7,0,4,4,neg
951,1,7,1,4,0,0,neg
797,5,1,1,7,7,0,neg
357,1,0,4,0,0,7,neg
890,5,2,6,3,4,6,neg
179,6,1,4,6,6,0,pos
491,0,3,5,6,3,0,neg
783,7,1,2,7,6,6,neg
971,1,0,4,1,7,0,neg
54,0,0,5,7,5,2,pos
649,1,5,4,5,3,1,neg
284,5,1,0,4,0,6,pos
36,7,5,7,7,6,7,pos
16,5,3,5,2,0,2,pos
964,1,7,0,3,7,2,neg
162,7,4,4,1,4,7,pos
165,1,5,0,2,0,5,pos
63,4,1,2,4,6,4,pos
150,0,4,6,1,1,1,pos
475,2,4,1,3,2,2,neg
88,7,7,6,1,1,1,pos
65,5,2,4,0,6,3,pos
14,5,2,7,0,7,7,pos
105,7,4,2,2,2,2,pos
688,2,3,0,3,5,7,neg
37,7,2,4,5,7,5,pos
280,3,5,5,1,4,4,pos
246,4,6,5,6,3,6,pos
72,0,1,5,2,5,4,pos
525,3,2,7,1,6,6,neg
480,6,6,0,4,6,2,neg
134,2,0,7,0,7,0,pos
496,4,3,6,7,5,1,neg
692,3,5,3,7,5,1,neg
547,7,0,2,7,4,5,neg
345,7,7,5,6,2,5,neg
982,5,7,0,6,2,7,neg
121,5,4,3,7,5,3,pos
57,7,7,7,1,7,0,pos
40,0,5,0,3,0,0,pos
297,6,7,1,2,2,2,pos
135,0,0,2,4,4,4,pos
186,3,2,4,0,5,0,pos
967,4,1,3,5,7,6,neg
952,5,7,6,7,3,5,neg
308,5,3,6,1,6,6,pos
597,2,3,0,2,3,7,neg
309,6,6,1,1,7,7,pos
702,2,0,4,6,7,2,neg
237,4,3,4,3,5,3,pos
528,4,2,0,2,2,1,neg
647,2,6,2,0,0,7,neg
614,7,3,0,4,5,7,neg
656,4,0,6,1,4,6,neg
45,7,5,4,4,7,5,pos
180,7,7,4,6,1,6,pos
792,1,4,5,3,0,7,neg
13,5,3,5,2,5,0,pos
295,6,2,6,2,7,4,pos
926,5,3,5,2,0,6,neg
166,7,2,2,0,5,0,pos
436,1,3,0,0,6,4,neg
887,3,3,0,5,3,1,neg
5,6,0,5,1,6,0,pos
74,7,5,6,3,5,3,pos
56,1,2,0,7,2,7,pos
266,0,7,3,6,3,3,pos
154,0,5,6,0,6,5,pos
109,4,2,6,6,5,3,pos
82,7,4,2,1,0,1,pos
940,3,7,4,6,2,4,neg
