drug_id,atom_id_1,atom_id_2,atom_id_3,atom_id_4
d1,d1_19,d1_24,d1_25,d1_26
d4,d4_9,d4_17,d4_18,d4_19
d6,d6_16,d6_23,d6_27,d6_28
d6,d6_2,d6_24,d6_29,d6_30
d6,d6_6,d6_33,d6_31,d6_32
d6,d6_15,d6_34,d6_25,d6_26
d10,d10_1,d10_14,d10_15,d10_16
d11,d11_14,d11_24,d11_25,d11_26
d12,d12_6,d12_25,d12_26,d12_27
d13,d13_8,d13_17,d13_19,d13_20
d13,d13_2,d13_18,d13_21,d13_22
d15,d15_23,d15_26,d15_27,d15_28
d18,d18_10,d18_15,d18_16,d18_17
d20,d20_1,d20_14,d20_15,d20_16
d24,d24_22,d24_36,d24_37,d24_38
d25,d25_1,d25_15,d25_16,d25_17
d26,d26_4,d26_11,d26_13,d26_14
d26,d26_2,d26_12,d26_15,d26_16
d27,d27_29,d27_32,d27_33,d27_34
d28,d28_1,d28_14,d28_15,d28_16
d31,d31_12,d31_24,d31_26,d31_27
d31,d31_11,d31_25,d31_28,d31_29
d41,d41_1,d41_23,d41_24,d41_25
d43,d43_11,d43_25,d43_26,d43_27
d45,d45_5,d45_11,d45_13,d45_14
d45,d45_2,d45_12,d45_15,d45_16
d46,d46_20,d46_21,d46_22,d46_23
d48,d48_19,d48_24,d48_25,d48_26
d49,d49_13,d49_23,d49_25,d49_26
d49,d49_6,d49_24,d49_27,d49_28
d50,d50_12,d50_17,d50_19,d50_20
d50,d50_2,d50_18,d50_21,d50_22
d51,d51_16,d51_21,d51_23,d51_24
d51,d51_2,d51_22,d51_25,d51_26
d52,d52_16,d52_21,d52_22,d52_23
d52,d52_14,d52_24,d52_25,d52_26
d53,d53_12,d53_22,d53_24,d53_25
d53,d53_1,d53_23,d53_26,d53_27
d54,d54_1,d54_20,d54_21,d54_22
d56,d56_14,d56_24,d56_25,d56_26
d57,d57_16,d57_20,d57_23,d57_24
d57,d57_14,d57_21,d57_25,d57_26
d57,d57_1,d57_22,d57_27,d57_28
d58,d58_14,d58_17,d58_18,d58_19
d59,d59_20,d59_32,d59_33,d59_34
d60,d60_13,d60_16,d60_21,d60_22
d60,d60_11,d60_17,d60_23,d60_24
d60,d60_5,d60_18,d60_19,d60_20
d61,d61_1,d61_23,d61_24,d61_25
d63,d63_1,d63_6,d63_7,d63_8
d63,d63_19,d63_21,d63_22,d63_23
d64,d64_12,d64_20,d64_24,d64_25
d64,d64_1,d64_21,d64_22,d64_23
d67,d67_12,d67_24,d67_26,d67_27
d68,d68_27,d68_32,d68_33,d68_34
d69,d69_12,d69_22,d69_26,d69_27
d69,d69_5,d69_23,d69_24,d69_25
d71,d71_16,d71_21,d71_23,d71_24
d71,d71_6,d71_22,d71_25,d71_26
d72,d72_13,d72_23,d72_24,d72_25
d75,d75_14,d75_21,d75_23,d75_24
d75,d75_1,d75_22,d75_25,d75_26
d79,d79_14,d79_22,d79_23,d79_24
d80,d80_22,d80_26,d80_27,d80_28
d82,d82_11,d82_24,d82_27,d82_28
d82,d82_10,d82_25,d82_29,d82_30
d82,d82_2,d82_26,d82_31,d82_32
d83,d83_9,d83_14,d83_15,d83_16
d86,d86_10,d86_32,d86_33,d86_34
d87,d87_9,d87_14,d87_15,d87_16
d90,d90_21,d90_32,d90_33,d90_34
d94,d94_11,d94_26,d94_27,d94_28
d95,d95_12,d95_16,d95_19,d95_20
d95,d95_11,d95_17,d95_21,d95_22
d95,d95_2,d95_18,d95_23,d95_24
d96,d96_22,d96_24,d96_27,d96_28
d96,d96_20,d96_25,d96_29,d96_30
d96,d96_2,d96_26,d96_31,d96_32
d101,d101_14,d101_21,d101_22,d101_23
d104,d104_16,d104_21,d104_22,d104_23
d105,d105_3,d105_22,d105_23,d105_24
d107,d107_10,d107_24,d107_31,d107_32
d107,d107_9,d107_25,d107_29,d107_30
d107,d107_1,d107_26,d107_27,d107_28
d109,d109_22,d109_23,d109_25,d109_26
d109,d109_1,d109_24,d109_27,d109_28
d112,d112_12,d112_22,d112_23,d112_24
d115,d115_6,d115_17,d115_18,d115_19
d117,d117_16,d117_20,d117_25,d117_26
d117,d117_14,d117_21,d117_27,d117_28
d117,d117_6,d117_22,d117_23,d117_24
d122,d122_11,d122_30,d122_31,d122_32
d125,d125_15,d125_17,d125_29,d125_30
d126,d126_17,d126_23,d126_25,d126_26
d126,d126_1,d126_24,d126_27,d126_28
d127,d127_15,d127_20,d127_23,d127_24
d127,d127_6,d127_21,d127_27,d127_28
d127,d127_14,d127_22,d127_25,d127_26
d128,d128_7,d128_20,d128_21,d128_22
d136,d136_21,d136_26,d136_27,d136_28
d137,d137_11,d137_25,d137_27,d137_28
d137,d137_10,d137_26,d137_29,d137_30
d140,d140_13,d140_17,d140_21,d140_22
d140,d140_5,d140_18,d140_19,d140_20
d146,d146_1,d146_20,d146_21,d146_22
d148,d148_9,d148_20,d148_21,d148_22
d149,d149_16,d149_23,d149_25,d149_26
d149,d149_1,d149_24,d149_27,d149_28
d151,d151_2,d151_10,d151_11,d151_12
d152,d152_10,d152_25,d152_29,d152_30
d152,d152_1,d152_26,d152_27,d152_28
d153,d153_10,d153_22,d153_23,d153_24
d157,d157_16,d157_27,d157_28,d157_29
d159,d159_16,d159_27,d159_28,d159_29
d163,d163_21,d163_25,d163_27,d163_28
d163,d163_1,d163_26,d163_29,d163_30
d164,d164_22,d164_25,d164_27,d164_28
d164,d164_20,d164_26,d164_29,d164_30
d165,d165_21,d165_26,d165_27,d165_28
d166,d166_23,d166_25,d166_26,d166_27
d169,d169_4,d169_11,d169_13,d169_14
d169,d169_2,d169_12,d169_15,d169_16
d171,d171_15,d171_19,d171_27,d171_28
d171,d171_13,d171_20,d171_29,d171_30
d171,d171_5,d171_21,d171_25,d171_26
d171,d171_1,d171_22,d171_23,d171_24
d172,d172_1,d172_10,d172_11,d172_12
d173,d173_5,d173_20,d173_25,d173_26
d173,d173_4,d173_21,d173_27,d173_28
d173,d173_10,d173_22,d173_23,d173_24
d174,d174_10,d174_25,d174_27,d174_28
d174,d174_19,d174_26,d174_29,d174_30
d177,d177_17,d177_23,d177_27,d177_28
d177,d177_5,d177_24,d177_25,d177_26
d178,d178_2,d178_19,d178_20,d178_21
d183,d183_22,d183_25,d183_29,d183_30
d183,d183_6,d183_26,d183_27,d183_28
d184,d184_10,d184_25,d184_29,d184_30
d184,d184_21,d184_26,d184_27,d184_28
d187,d187_9,d187_30,d187_31,d187_32
d8,d8_1,d8_14,d8_15,d8_16
d16,d16_7,d16_17,d16_19,d16_20
d16,d16_2,d16_18,d16_21,d16_22
d21,d21_14,d21_21,d21_23,d21_24
d21,d21_6,d21_22,d21_25,d21_26
d22,d22_1,d22_15,d22_16,d22_17
d23,d23_20,d23_32,d23_33,d23_34
d29,d29_1,d29_14,d29_15,d29_16
d29,d29_9,d29_17,d29_18,d29_19
d29,d29_11,d29_20,d29_21,d29_22
d30,d30_19,d30_32,d30_33,d30_34
d32,d32_15,d32_19,d32_23,d32_24
d32,d32_13,d32_20,d32_25,d32_26
d32,d32_6,d32_21,d32_29,d32_30
d32,d32_1,d32_22,d32_27,d32_28
d33,d33_1,d33_22,d33_23,d33_24
d35,d35_1,d35_22,d35_24,d35_25
d37,d37_1,d37_28,d37_29,d37_30
d44,d44_13,d44_15,d44_16,d44_17
d47,d47_15,d47_17,d47_19,d47_20
d47,d47_1,d47_18,d47_21,d47_22
d74,d74_26,d74_32,d74_33,d74_34
d81,d81_5,d81_11,d81_13,d81_14
d81,d81_3,d81_12,d81_15,d81_16
d85,d85_19,d85_32,d85_33,d85_34
d91,d91_18,d91_21,d91_22,d91_23
d92,d92_15,d92_17,d92_18,d92_19
d93,d93_19,d93_32,d93_33,d93_34
d97,d97_1,d97_26,d97_27,d97_28
d99,d99_11,d99_13,d99_14,d99_15
d102,d102_11,d102_19,d102_29,d102_30
d102,d102_13,d102_20,d102_27,d102_28
d102,d102_5,d102_21,d102_25,d102_26
d102,d102_1,d102_22,d102_23,d102_24
d103,d103_22,d103_26,d103_27,d103_28
d106,d106_22,d106_25,d106_27,d106_28
d108,d108_9,d108_24,d108_25,d108_26
d118,d118_18,d118_21,d118_22,d118_23
d121,d121_11,d121_24,d121_27,d121_28
d121,d121_10,d121_25,d121_29,d121_30
d121,d121_1,d121_26,d121_31,d121_32
d134,d134_15,d134_27,d134_29,d134_30
d134,d134_1,d134_28,d134_31,d134_32
d145,d145_1,d145_22,d145_23,d145_24
d158,d158_1,d158_22,d158_23,d158_24
d161,d161_20,d161_31,d161_33,d161_34
d161,d161_2,d161_32,d161_35,d161_36
d162,d162_14,d162_19,d162_27,d162_28
d162,d162_13,d162_20,d162_29,d162_30
d162,d162_6,d162_21,d162_25,d162_26
d162,d162_1,d162_22,d162_23,d162_24
d167,d167_22,d167_25,d167_27,d167_28
d167,d167_2,d167_26,d167_29,d167_30
d170,d170_18,d170_24,d170_25,d170_26
d176,d176_1,d176_17,d176_18,d176_19
d180,d180_22,d180_23,d180_25,d180_26
d180,d180_3,d180_24,d180_27,d180_28
d2,d2_2,d2_17,d2_18,d2_19
d17,d17_4,d17_10,d17_11,d17_12
d42,d42_6,d42_11,d42_12,d42_13
d70,d70_6,d70_16,d70_17,d70_18
d77,d77_6,d77_22,d77_23,d77_24
d89,d89_2,d89_11,d89_12,d89_13
d98,d98_5,d98_17,d98_18,d98_19
d111,d111_2,d111_14,d111_15,d111_16
d114,d114_1,d114_22,d114_23,d114_24
d119,d119_16,d119_20,d119_25,d119_26
d119,d119_14,d119_21,d119_27,d119_28
d119,d119_5,d119_22,d119_23,d119_24
d120,d120_6,d120_11,d120_12,d120_13
d130,d130_4,d130_16,d130_17,d130_18
d131,d131_2,d131_27,d131_28,d131_29
d132,d132_4,d132_14,d132_15,d132_16
d138,d138_1,d138_11,d138_12,d138_13
d141,d141_5,d141_10,d141_13,d141_14
d144,d144_5,d144_10,d144_13,d144_14
d147,d147_6,d147_11,d147_12,d147_13
d186,d186_6,d186_18,d186_19,d186_20
d188,d188_14,d188_22,d188_23,d188_24
d3,d3_5,d3_17,d3_18,d3_19
d5,d5_5,d5_10,d5_13,d5_14
d7,d7_15,d7_25,d7_26,d7_27
d9,d9_6,d9_10,d9_11,d9_12
d14,d14_1,d14_11,d14_12,d14_13
d19,d19_6,d19_17,d19_18,d19_19
d34,d34_13,d34_18,d34_19,d34_20
d36,d36_13,d36_21,d36_22,d36_23
d38,d38_15,d38_22,d38_23,d38_24
d39,d39_2,d39_16,d39_17,d39_18
d40,d40_14,d40_18,d40_19,d40_20
d55,d55_13,d55_21,d55_22,d55_23
d62,d62_1,d62_13,d62_14,d62_15
d65,d65_14,d65_17,d65_19,d65_20
d65,d65_12,d65_18,d65_21,d65_22
d66,d66_6,d66_22,d66_23,d66_24
d73,d73_5,d73_22,d73_23,d73_24
d76,d76_5,d76_11,d76_13,d76_14
d78,d78_14,d78_25,d78_26,d78_27
d84,d84_2,d84_16,d84_17,d84_18
d88,d88_2,d88_17,d88_18,d88_19
d100,d100_6,d100_22,d100_23,d100_24
d110,d110_15,d110_19,d110_25,d110_26
d110,d110_13,d110_20,d110_27,d110_28
d110,d110_5,d110_21,d110_23,d110_24
d110,d110_3,d110_22,d110_29,d110_30
d113,d113_4,d113_11,d113_13,d113_14
d113,d113_2,d113_12,d113_15,d113_16
d116,d116_5,d116_11,d116_13,d116_14
d123,d123_14,d123_28,d123_29,d123_30
d124,d124_5,d124_10,d124_13,d124_14
d129,d129_4,d129_15,d129_17,d129_18
d129,d129_2,d129_16,d129_19,d129_20
d133,d133_15,d133_18,d133_23,d133_24
d135,d135_5,d135_10,d135_11,d135_12
d139,d139_4,d139_13,d139_15,d139_16
d142,d142_6,d142_19,d142_20,d142_21
d143,d143_4,d143_23,d143_24,d143_25
d150,d150_1,d150_6,d150_7,d150_8
d154,d154_8,d154_10,d154_11,d154_12
d155,d155_4,d155_15,d155_17,d155_18
d155,d155_2,d155_16,d155_19,d155_20
d156,d156_1,d156_18,d156_19,d156_20
d160,d160_2,d160_13,d160_17,d160_18
d160,d160_6,d160_14,d160_15,d160_16
d168,d168_2,d168_16,d168_17,d168_18
d175,d175_14,d175_17,d175_18,d175_19
d179,d179_2,d179_26,d179_27,d179_28
d179,d179_19,d179_29,d179_30,d179_31
d181,d181_4,d181_12,d181_13,d181_14
d182,d182_2,d182_20,d182_21,d182_22
d185,d185_3,d185_11,d185_15,d185_16
d185,d185_2,d185_12,d185_13,d185_14
d190,d190_6,d190_10,d190_11,d190_12
d191,d191_18,d191_28,d191_29,d191_30
d194,d194_2,d194_11,d194_14,d194_15
d197,d197_8,d197_11,d197_12,d197_13
e1,e1_11,e1_32,e1_33,e1_34
e2,e2_7,e2_21,e2_22,e2_23
e27,e27_29,e27_32,e27_33,e27_34
f1,f1_4,f1_8,f1_10,f1_9
f2,f2_1,f2_9,f2_10,f2_11
f3,f3_4,f3_8,f3_10,f3_9
f4,f4_4,f4_8,f4_10,f4_9
f5,f5_4,f5_16,f5_17,f5_18
f6,f6_4,f6_8,f6_10,f6_9
d189,d189_12,d189_15,d189_21,d189_22
d189,d189_10,d189_16,d189_23,d189_24
d189,d189_5,d189_17,d189_19,d189_20
d189,d189_1,d189_18,d189_25,d189_26
d192,d192_12,d192_30,d192_31,d192_32
d193,d193_24,d193_30,d193_31,d193_32
d195,d195_2,d195_12,d195_13,d195_14
d196,d196_15,d196_22,d196_23,d196_24
e3,e3_6,e3_17,e3_18,e3_19
e4,e4_6,e4_11,e4_12,e4_13
e5,e5_5,e5_12,e5_13,e5_14
e6,e6_2,e6_11,e6_12,e6_13
e7,e7_5,e7_10,e7_11,e7_12
e8,e8_6,e8_10,e8_11,e8_12
e9,e9_5,e9_11,e9_13,e9_14
e10,e10_2,e10_10,e10_11,e10_12
e11,e11_5,e11_10,e11_11,e11_12
e12,e12_5,e12_10,e12_11,e12_12
e12,e12_4,e12_14,e12_15,e12_16
e13,e13_5,e13_10,e13_11,e13_12
e14,e14_5,e14_9,e14_10,e14_11
e15,e15_11,e15_30,e15_31,e15_32
e16,e16_5,e16_9,e16_10,e16_11
e17,e17_14,e17_24,e17_25,e17_26
e18,e18_5,e18_9,e18_10,e18_11
e19,e19_10,e19_15,e19_16,e19_17
e20,e20_10,e20_15,e20_16,e20_17
e21,e21_7,e21_21,e21_22,e21_23
e22,e22_7,e22_19,e22_20,e22_21
e23,e23_7,e23_19,e23_20,e23_21
e24,e24_10,e24_30,e24_31,e24_32
e25,e25_7,e25_21,e25_22,e25_23
e26,e26_7,e26_31,e26_32,e26_33
