"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dataset_size","epochs","hidden","hidden_dims","layers","repetitions","start_lr","best_test_acc","best_val_acc","epoch","lr","test_acc","train_acc","val_acc"
"deft-sweep-96","finished","-","nicolas-debie","","2023-11-13T21:51:52.000Z","20","tdztg2wo","64","200","200","","128","5","","0.01","","","171","0.00001","0.96","1","1"
"zesty-sweep-95","finished","-","nicolas-debie","","2023-11-13T21:51:31.000Z","18","tdztg2wo","64","200","200","","128","4","","0.01","","","199","0.00001","1","1","1"
"icy-sweep-94","finished","-","nicolas-debie","","2023-11-13T21:51:05.000Z","21","tdztg2wo","64","200","200","","128","3","","0.01","","","199","0.00001","1","1","1"
"splendid-sweep-93","finished","-","nicolas-debie","","2023-11-13T21:50:44.000Z","15","tdztg2wo","64","200","200","","128","2","","0.01","","","199","0.00001","1","1","1"
"leafy-sweep-92","finished","-","nicolas-debie","","2023-11-13T21:50:23.000Z","19","tdztg2wo","64","200","200","","64","5","","0.01","","","199","0.00001","1","1","1"
"different-sweep-91","finished","-","nicolas-debie","","2023-11-13T21:50:02.000Z","16","tdztg2wo","64","200","200","","64","4","","0.01","","","199","0.00001","1","1","1"
"stoic-sweep-90","finished","-","nicolas-debie","","2023-11-13T21:49:41.000Z","16","tdztg2wo","64","200","200","","64","3","","0.01","","","199","0.00001","1","1","1"
"mild-sweep-89","finished","-","nicolas-debie","","2023-11-13T21:49:26.000Z","11","tdztg2wo","64","200","200","","64","2","","0.01","","","199","0.00001","0.98","1","1"
"desert-sweep-88","finished","-","nicolas-debie","","2023-11-13T21:49:00.000Z","21","tdztg2wo","64","200","200","","32","5","","0.01","","","199","0.00001","1","1","1"
"fluent-sweep-87","finished","-","nicolas-debie","","2023-11-13T21:48:39.000Z","14","tdztg2wo","64","200","200","","32","4","","0.01","","","199","0.00001","1","1","1"
"quiet-sweep-86","finished","-","nicolas-debie","","2023-11-13T21:48:18.000Z","15","tdztg2wo","64","200","200","","32","3","","0.01","","","199","0.00001","0.98","1","1"
"chocolate-sweep-85","finished","-","nicolas-debie","","2023-11-13T21:48:02.000Z","13","tdztg2wo","64","200","200","","32","2","","0.01","","","199","0.00001","1","1","1"
"expert-sweep-84","finished","-","nicolas-debie","","2023-11-13T21:47:41.000Z","16","tdztg2wo","64","175","200","","128","5","","0.01","","","199","0.00001","1","1","1"
"sunny-sweep-83","finished","-","nicolas-debie","","2023-11-13T21:47:20.000Z","16","tdztg2wo","64","175","200","","128","4","","0.01","","","199","0.00001","0.94","1","0.9523809523809524"
"swift-sweep-82","finished","-","nicolas-debie","","2023-11-13T21:46:59.000Z","16","tdztg2wo","64","175","200","","128","3","","0.01","","","199","0.00001","0.98","1","1"
"bumbling-sweep-81","finished","-","nicolas-debie","","2023-11-13T21:46:38.000Z","16","tdztg2wo","64","175","200","","128","2","","0.01","","","199","0.00001","1","1","1"
"elated-sweep-80","finished","-","nicolas-debie","","2023-11-13T21:46:12.000Z","22","tdztg2wo","64","175","200","","64","5","","0.01","","","199","0.00001","1","1","1"
"gentle-sweep-79","finished","-","nicolas-debie","","2023-11-13T21:45:51.000Z","15","tdztg2wo","64","175","200","","64","4","","0.01","","","199","0.00001","1","1","1"
"crimson-sweep-78","finished","-","nicolas-debie","","2023-11-13T21:45:35.000Z","14","tdztg2wo","64","175","200","","64","3","","0.01","","","199","0.00001","1","1","1"
"zesty-sweep-77","finished","-","nicolas-debie","","2023-11-13T21:45:20.000Z","11","tdztg2wo","64","175","200","","64","2","","0.01","","","199","0.00001","1","1","1"
"fallen-sweep-76","finished","-","nicolas-debie","","2023-11-13T21:45:04.000Z","14","tdztg2wo","64","175","200","","32","5","","0.01","","","199","0.00001","0.98","1","1"
"stellar-sweep-75","finished","-","nicolas-debie","","2023-11-13T21:44:48.000Z","15","tdztg2wo","64","175","200","","32","4","","0.01","","","199","0.00001","0.96","1","1"
"drawn-sweep-74","finished","-","nicolas-debie","","2023-11-13T21:44:33.000Z","13","tdztg2wo","64","175","200","","32","3","","0.01","","","199","0.00001","0.98","1","1"
"revived-sweep-73","finished","-","nicolas-debie","","2023-11-13T21:44:17.000Z","10","tdztg2wo","64","175","200","","32","2","","0.01","","","199","0.00001","1","1","1"
"lively-sweep-72","finished","-","nicolas-debie","","2023-11-13T21:43:50.000Z","25","tdztg2wo","64","150","200","","128","5","","0.01","","","199","0.00001","1","1","1"
"fragrant-sweep-71","finished","-","nicolas-debie","","2023-11-13T21:43:29.000Z","15","tdztg2wo","64","150","200","","128","4","","0.01","","","199","0.00001","0.98","1","1"
"devout-sweep-70","finished","-","nicolas-debie","","2023-11-13T21:43:13.000Z","13","tdztg2wo","64","150","200","","128","3","","0.01","","","199","0.00001","1","1","1"
"laced-sweep-69","finished","-","nicolas-debie","","2023-11-13T21:42:52.000Z","20","tdztg2wo","64","150","200","","128","2","","0.01","","","199","0.00001","1","1","1"
"vivid-sweep-68","finished","-","nicolas-debie","","2023-11-13T21:42:32.000Z","14","tdztg2wo","64","150","200","","64","5","","0.01","","","199","0.00001","1","1","1"
"quiet-sweep-67","finished","-","nicolas-debie","","2023-11-13T21:42:05.000Z","22","tdztg2wo","64","150","200","","64","4","","0.01","","","199","0.00001","1","1","1"
"misty-sweep-66","finished","-","nicolas-debie","","2023-11-13T21:41:44.000Z","14","tdztg2wo","64","150","200","","64","3","","0.01","","","199","0.00001","1","1","1"
"stoic-sweep-65","finished","-","nicolas-debie","","2023-11-13T21:41:29.000Z","12","tdztg2wo","64","150","200","","64","2","","0.01","","","199","0.00001","1","1","1"
"bright-sweep-64","finished","-","nicolas-debie","","2023-11-13T21:41:13.000Z","14","tdztg2wo","64","150","200","","32","5","","0.01","","","199","0.00001","1","1","1"
"sweet-sweep-63","finished","-","nicolas-debie","","2023-11-13T21:40:52.000Z","15","tdztg2wo","64","150","200","","32","4","","0.01","","","199","0.00001","0.98","1","1"
"smart-sweep-62","finished","-","nicolas-debie","","2023-11-13T21:40:30.000Z","17","tdztg2wo","64","150","200","","32","3","","0.01","","","199","0.00001","1","1","1"
"eager-sweep-61","finished","-","nicolas-debie","","2023-11-13T21:40:15.000Z","10","tdztg2wo","64","150","200","","32","2","","0.01","","","199","0.00001","1","1","1"
"electric-sweep-60","finished","-","nicolas-debie","","2023-11-13T21:39:59.000Z","14","tdztg2wo","64","125","200","","128","5","","0.01","","","199","0.00001","0.98","1","1"
"silvery-sweep-59","finished","-","nicolas-debie","","2023-11-13T21:39:43.000Z","13","tdztg2wo","64","125","200","","128","4","","0.01","","","199","0.00001","1","1","1"
"happy-sweep-58","finished","-","nicolas-debie","","2023-11-13T21:39:28.000Z","10","tdztg2wo","64","125","200","","128","3","","0.01","","","199","0.00001","1","1","1"
"solar-sweep-57","finished","-","nicolas-debie","","2023-11-13T21:39:12.000Z","11","tdztg2wo","64","125","200","","128","2","","0.01","","","199","0.00001","1","1","1"
"misunderstood-sweep-56","finished","-","nicolas-debie","","2023-11-13T21:38:51.000Z","15","tdztg2wo","64","125","200","","64","5","","0.01","","","169","0.00001","0.98","1","1"
"solar-sweep-55","finished","-","nicolas-debie","","2023-11-13T21:38:35.000Z","12","tdztg2wo","64","125","200","","64","4","","0.01","","","199","0.00001","0.98","1","1"
"elated-sweep-54","finished","-","nicolas-debie","","2023-11-13T21:38:20.000Z","10","tdztg2wo","64","125","200","","64","3","","0.01","","","199","0.00001","1","1","1"
"dashing-sweep-53","finished","-","nicolas-debie","","2023-11-13T21:38:04.000Z","10","tdztg2wo","64","125","200","","64","2","","0.01","","","199","0.00001","0.96","1","1"
"classic-sweep-52","finished","-","nicolas-debie","","2023-11-13T21:37:48.000Z","11","tdztg2wo","64","125","200","","32","5","","0.01","","","199","0.00001","0.98","1","1"
"worldly-sweep-51","finished","-","nicolas-debie","","2023-11-13T21:37:32.000Z","11","tdztg2wo","64","125","200","","32","4","","0.01","","","199","0.00001","1","1","1"
"frosty-sweep-50","finished","-","nicolas-debie","","2023-11-13T21:37:17.000Z","11","tdztg2wo","64","125","200","","32","3","","0.01","","","199","0.00001","1","1","1"
"misty-sweep-49","finished","-","nicolas-debie","","2023-11-13T21:37:01.000Z","11","tdztg2wo","64","125","200","","32","2","","0.01","","","199","0.00001","1","1","1"
"gentle-sweep-48","finished","-","nicolas-debie","","2023-11-13T21:36:40.000Z","15","tdztg2wo","64","100","200","","128","5","","0.01","","","199","0.00001","0.94","1","0.9761904761904762"
"gallant-sweep-47","finished","-","nicolas-debie","","2023-11-13T21:36:24.000Z","14","tdztg2wo","64","100","200","","128","4","","0.01","","","199","0.00001","0.92","1","1"
"still-sweep-46","finished","-","nicolas-debie","","2023-11-13T21:36:08.000Z","13","tdztg2wo","64","100","200","","128","3","","0.01","","","199","0.00001","0.92","1","1"
"morning-sweep-45","finished","-","nicolas-debie","","2023-11-13T21:35:53.000Z","12","tdztg2wo","64","100","200","","128","2","","0.01","","","199","0.00001","0.94","1","1"
"volcanic-sweep-44","finished","-","nicolas-debie","","2023-11-13T21:35:37.000Z","13","tdztg2wo","64","100","200","","64","5","","0.01","","","199","0.00001","0.94","1","1"
"helpful-sweep-43","finished","-","nicolas-debie","","2023-11-13T21:35:21.000Z","12","tdztg2wo","64","100","200","","64","4","","0.01","","","199","0.00001","0.94","1","1"
"elated-sweep-42","finished","-","nicolas-debie","","2023-11-13T21:35:05.000Z","10","tdztg2wo","64","100","200","","64","3","","0.01","","","199","0.00001","0.94","1","1"
"proud-sweep-41","finished","-","nicolas-debie","","2023-11-13T21:34:50.000Z","9","tdztg2wo","64","100","200","","64","2","","0.01","","","199","0.00001","0.92","1","1"
"prime-sweep-40","finished","-","nicolas-debie","","2023-11-13T21:34:34.000Z","11","tdztg2wo","64","100","200","","32","5","","0.01","","","199","0.00001","0.94","1","1"
"rose-sweep-39","finished","-","nicolas-debie","","2023-11-13T21:34:18.000Z","12","tdztg2wo","64","100","200","","32","4","","0.01","","","199","0.00001","0.98","1","1"
"sparkling-sweep-38","finished","-","nicolas-debie","","2023-11-13T21:34:02.000Z","12","tdztg2wo","64","100","200","","32","3","","0.01","","","199","0.00001","0.96","1","1"
"sleek-sweep-37","finished","-","nicolas-debie","","2023-11-13T21:33:41.000Z","16","tdztg2wo","64","100","200","","32","2","","0.01","","","199","0.00001","0.96","1","1"
"faithful-sweep-36","finished","-","nicolas-debie","","2023-11-13T21:33:15.000Z","19","tdztg2wo","64","75","200","","128","5","","0.01","","","199","0.00001","0.9","1","0.9285714285714286"
"sweepy-sweep-35","finished","-","nicolas-debie","","2023-11-13T21:32:54.000Z","14","tdztg2wo","64","75","200","","128","4","","0.01","","","199","0.00001","0.96","1","0.9523809523809524"
"crisp-sweep-34","finished","-","nicolas-debie","","2023-11-13T21:32:38.000Z","12","tdztg2wo","64","75","200","","128","3","","0.01","","","199","0.00001","0.88","1","0.8809523809523809"
"exalted-sweep-33","finished","-","nicolas-debie","","2023-11-13T21:32:22.000Z","12","tdztg2wo","64","75","200","","128","2","","0.01","","","199","0.00001","0.96","1","0.9761904761904762"
"robust-sweep-32","finished","-","nicolas-debie","","2023-11-13T21:32:05.000Z","12","tdztg2wo","64","75","200","","64","5","","0.01","","","199","0.00001","0.92","1","0.8571428571428571"
"trim-sweep-31","finished","-","nicolas-debie","","2023-11-13T21:31:50.000Z","12","tdztg2wo","64","75","200","","64","4","","0.01","","","199","0.00001","0.9","1","0.9047619047619048"
"swift-sweep-30","finished","-","nicolas-debie","","2023-11-13T21:31:28.000Z","16","tdztg2wo","64","75","200","","64","3","","0.01","","","199","0.00001","0.92","1","0.9047619047619048"
"astral-sweep-29","finished","-","nicolas-debie","","2023-11-13T21:31:13.000Z","9","tdztg2wo","64","75","200","","64","2","","0.01","","","199","0.00001","0.98","1","1"
"icy-sweep-28","finished","-","nicolas-debie","","2023-11-13T21:30:57.000Z","12","tdztg2wo","64","75","200","","32","5","","0.01","","","199","0.00001","0.92","1","0.9761904761904762"
"eager-sweep-27","finished","-","nicolas-debie","","2023-11-13T21:30:45.000Z","9","tdztg2wo","64","75","200","","32","4","","0.01","","","199","0.00001","0.9","1","0.8809523809523809"
"daily-sweep-26","finished","-","nicolas-debie","","2023-11-13T21:30:29.000Z","12","tdztg2wo","64","75","200","","32","3","","0.01","","","199","0.00001","0.96","1","0.9761904761904762"
"major-sweep-25","finished","-","nicolas-debie","","2023-11-13T21:30:13.000Z","12","tdztg2wo","64","75","200","","32","2","","0.01","","","199","0.00001","0.94","1","1"
"dark-sweep-24","finished","-","nicolas-debie","","2023-11-13T21:29:57.000Z","11","tdztg2wo","64","50","200","","128","5","","0.01","","","199","0.00001","0.76","1","0.8095238095238095"
"wild-sweep-23","finished","-","nicolas-debie","","2023-11-13T21:29:41.000Z","12","tdztg2wo","64","50","200","","128","4","","0.01","","","199","0.00001","0.78","1","0.7619047619047619"
"gallant-sweep-22","finished","-","nicolas-debie","","2023-11-13T21:29:25.000Z","12","tdztg2wo","64","50","200","","128","3","","0.01","","","199","0.00001","0.84","1","0.8571428571428571"
"solar-sweep-21","finished","-","nicolas-debie","","2023-11-13T21:29:04.000Z","15","tdztg2wo","64","50","200","","128","2","","0.01","","","199","0.00001","0.9","1","0.9285714285714286"
"zesty-sweep-20","finished","-","nicolas-debie","","2023-11-13T21:28:48.000Z","10","tdztg2wo","64","50","200","","64","5","","0.01","","","199","0.00001","0.74","1","0.7857142857142857"
"crimson-sweep-19","finished","-","nicolas-debie","","2023-11-13T21:28:28.000Z","17","tdztg2wo","64","50","200","","64","4","","0.01","","","199","0.00001","0.78","1","0.8333333333333334"
"sage-sweep-18","finished","-","nicolas-debie","","2023-11-13T21:28:12.000Z","9","tdztg2wo","64","50","200","","64","3","","0.01","","","199","0.00001","0.88","1","0.8571428571428571"
"honest-sweep-17","finished","-","nicolas-debie","","2023-11-13T21:27:56.000Z","10","tdztg2wo","64","50","200","","64","2","","0.01","","","199","0.00001","0.9","1","0.9285714285714286"
"clear-sweep-16","finished","-","nicolas-debie","","2023-11-13T21:27:44.000Z","9","tdztg2wo","64","50","200","","32","5","","0.01","","","199","0.00001","0.9","1","0.7857142857142857"
"clear-sweep-15","finished","-","nicolas-debie","","2023-11-13T21:27:28.000Z","11","tdztg2wo","64","50","200","","32","4","","0.01","","","199","0.00001","0.84","1","0.8095238095238095"
"wandering-sweep-14","finished","-","nicolas-debie","","2023-11-13T21:27:13.000Z","13","tdztg2wo","64","50","200","","32","3","","0.01","","","199","0.00001","0.88","1","0.9285714285714286"
"fine-sweep-13","finished","-","nicolas-debie","","2023-11-13T21:27:02.000Z","9","tdztg2wo","64","50","200","","32","2","","0.01","","","199","0.00001","0.94","1","0.9285714285714286"
"visionary-sweep-12","finished","-","nicolas-debie","","2023-11-13T21:26:41.000Z","16","tdztg2wo","64","25","200","","128","5","","0.01","","","199","0.00001","0.74","1","0.7380952380952381"
"dark-sweep-11","finished","-","nicolas-debie","","2023-11-13T21:26:18.000Z","15","tdztg2wo","64","25","200","","128","4","","0.01","","","199","0.00001","0.76","1","0.7857142857142857"
"fine-sweep-10","finished","-","nicolas-debie","","2023-11-13T21:26:02.000Z","10","tdztg2wo","64","25","200","","128","3","","0.01","","","199","0.00001","0.86","1","0.8809523809523809"
"clear-sweep-9","finished","-","nicolas-debie","","2023-11-13T21:25:52.000Z","8","tdztg2wo","64","25","200","","128","2","","0.01","","","199","0.00001","0.84","1","0.8333333333333334"
"elated-sweep-8","finished","-","nicolas-debie","","2023-11-13T21:25:36.000Z","11","tdztg2wo","64","25","200","","64","5","","0.01","","","199","0.00001","0.76","1","0.7619047619047619"
"easy-sweep-7","finished","-","nicolas-debie","","2023-11-13T21:25:20.000Z","10","tdztg2wo","64","25","200","","64","4","","0.01","","","199","0.00001","0.82","1","0.7380952380952381"
"warm-sweep-6","finished","-","nicolas-debie","","2023-11-13T21:25:04.000Z","10","tdztg2wo","64","25","200","","64","3","","0.01","","","199","0.00001","0.9","1","0.8809523809523809"
"amber-sweep-5","finished","-","nicolas-debie","","2023-11-13T21:24:49.000Z","14","tdztg2wo","64","25","200","","64","2","","0.01","","","199","0.00001","0.84","1","0.8809523809523809"
"usual-sweep-4","finished","-","nicolas-debie","","2023-11-13T21:24:33.000Z","9","tdztg2wo","64","25","200","","32","5","","0.01","","","199","0.00001","0.86","1","0.8095238095238095"
"mild-sweep-3","finished","-","nicolas-debie","","2023-11-13T21:24:17.000Z","11","tdztg2wo","64","25","200","","32","4","","0.01","","","199","0.00001","0.86","1","0.8571428571428571"
"pious-sweep-2","finished","-","nicolas-debie","","2023-11-13T21:24:01.000Z","14","tdztg2wo","64","25","200","","32","3","","0.01","","","199","0.00001","0.76","1","0.8571428571428571"
"usual-sweep-1","finished","-","nicolas-debie","","2023-11-13T21:23:44.000Z","9","tdztg2wo","64","25","200","","32","2","","0.01","","","199","0.00001","0.84","1","0.8809523809523809"